Question No,Question,Option A,Option B,Option C,Option D,Correct Answer
285,Which is the best-case time complexity of Quick Sort?,O(n),O(n log n),O(n^2),O(log n),
286,Which traversal technique is used in a compiler for syntax tree evaluation?,Preorder,Inorder,Postorder,Level Order,
287,Which of the following is true about heaps?,It is a complete binary tree,It is always sorted,It can be used as a search tree,It stores keys in sorted order,
288,Which algorithm is used for finding articulation points in a graph?,Prim’s Algorithm,Tarjan’s Algorithm,Dijkstra’s Algorithm,Bellman-Ford Algorithm,
289,Which tree traversal is typically implemented using a queue?,Preorder,Inorder,Postorder,Level Order,
290,Which data structure is commonly used to implement a deque?,Array,Linked List,Both,None,
291,Which traversal technique uses recursion in its simplest form for binary trees?,Inorder,Preorder,Postorder,All of the above,
292,Which data structure is the best choice for implementing breadth-first traversal in a graph?,Stack,Queue,Heap,Tree,
293,What is the time complexity of deleting an element from a linked list if a pointer to the node is given?,O(1),O(n),O(log n),O(n log n),
294,Which of the following statements is true about Red-Black Trees?,They are not height-balanced,"They guarantee O(log n) time for search, insert, and delete",They are always strictly balanced,They cannot store duplicate values,
295,Which sorting algorithm is considered the fastest in practice for large datasets?,Bubble Sort,Selection Sort,Quick Sort,Insertion Sort,
296,Which of the following is used to represent a sparse graph efficiently?,Adjacency Matrix,Adjacency List,Linked Matrix,None,
297,Which algorithm is used to detect a cycle in a linked list?,Dijkstra’s Algorithm,Floyd’s Cycle Detection Algorithm,Prim’s Algorithm,Kruskal’s Algorithm,
298,What is the height of a complete binary tree with n nodes?,log n,n,n log n,√n,
299,Which data structure is best for implementing recursion iteratively?,Queue,Stack,Array,Hash Table,
300,Which property is true for a max-heap?,Parent is smaller than child,Parent is always greater than or equal to child,Heap is always sorted,All leaves must be full,
301,Which HTML tag is used to create a hyperlink?,<link>,<a>,<href>,<url>,
302,Which HTML tag is used to display the largest heading?,<h6>,<h5>,<h1>,<head>,
303,Which attribute is used in HTML to specify an image source?,href,src,link,alt,
304,Which CSS property is used to change the text color?,font-color,color,text-color,background-color,
305,Which CSS property is used to change the background color?,color,bgcolor,background,background-color,
306,Which HTML element is used to insert a line break?,<break>,<br>,<lb>,<newline>,
307,Which HTML attribute is used to define inline styles?,style,class,font,styles,
308,Which CSS property is used to change the font size?,font-size,text-size,size,font-style,
309,Which HTML tag is used to create an ordered list?,<ul>,<ol>,<li>,<list>,
310,Which HTML element is used to play video files?,<media>,<video>,<movie>,<play>,
311,Which of the following is the correct file extension for a CSS file?,.html,.css,.js,.txt,
312,Which JavaScript keyword is used to declare a variable?,var,let,const,All of the above,
313,Which symbol is used for comments in JavaScript?,//,#,<!-- -->,/* */,
314,Which method is used in JavaScript to display an alert box?,prompt(),alert(),confirm(),show(),
315,Which tag is used in HTML to insert an image?,<img>,<image>,<src>,<picture>,
316,Which attribute in the <img> tag is used to display alternative text?,src,title,alt,href,
317,Which HTML tag is used to create a table row?,<td>,<tr>,<table>,<th>,
318,Which CSS property controls the text alignment?,align,text-align,font-align,horizontal-align,
319,Which HTML tag is used to create a checkbox?,<check>,<checkbox>,<input type='checkbox'>,<cb>,
320,Which HTML tag is used to create a drop-down list?,<select>,<dropdown>,<option>,<list>,
321,Which HTML tag is used to create a text input field?,<textbox>,<input type='text'>,<text>,<field>,
322,Which HTML element is used to display bold text?,<b>,<strong>,Both <b> and <strong>,<bold>,
323,Which HTML tag is used to create a numbered list?,<ul>,<ol>,<li>,<list>,
324,Which HTML tag is used to create a bullet list?,<ul>,<ol>,<li>,<list>,
325,Which attribute is used in HTML to open a link in a new tab?,target='_self',target='_blank',newtab,href='_new',
326,Which CSS property is used to make text bold?,text-weight,font-style,font-weight,bold,
327,Which CSS property is used to make text italic?,font-italic,text-style,font-style,font-weight,
328,Which CSS property is used to set the height of an element?,height,element-height,size-height,max-height,
329,Which CSS property is used to set the width of an element?,size-width,max-width,width,element-width,
330,Which CSS property is used to add space inside an element?,margin,padding,spacing,border,
331,Which CSS property is used to add space outside an element?,margin,padding,spacing,border,
332,Which JavaScript operator is used for strict equality?,=,==,===,!=,
333,Which JavaScript function is used to parse a string into an integer?,parseFloat(),parseInt(),toNumber(),Number(),
334,Which JavaScript method adds a new element to the end of an array?,push(),pop(),shift(),unshift(),
335,Which JavaScript method removes the last element of an array?,push(),pop(),shift(),unshift(),
336,Which JavaScript method removes the first element of an array?,push(),pop(),shift(),unshift(),
337,Which JavaScript method adds a new element to the beginning of an array?,push(),pop(),shift(),unshift(),
338,Which HTML tag is used to define a table header?,<thead>,<th>,<tr>,<td>,
339,Which HTML tag is used to define a table data cell?,<tr>,<td>,<th>,<table>,
340,Which HTML attribute is used to define a unique identifier for an element?,class,id,name,style,
341,Which HTML attribute is used to group elements with a common style?,class,id,group,style,
342,Which HTML tag is used to display preformatted text?,<code>,<pre>,<format>,<p>,
343,Which HTML tag is used to display computer code?,<code>,<pre>,<script>,<kbd>,
344,Which HTML element is used to define metadata?,<meta>,<link>,<head>,<title>,
345,Which HTML tag is used to define the title of a webpage?,<meta>,<title>,<head>,<h1>,
346,Which CSS property is used to control the visibility of an element?,visible,display,visibility,show,
347,Which CSS property is used to change the cursor when hovering over an element?,cursor,hover,pointer,mouse,
348,Which HTML element is used to embed JavaScript code?,<js>,<javascript>,<script>,<code>,
349,Which JavaScript function is used to write directly into the HTML document?,document.write(),console.log(),alert(),innerHTML,
350,Which JavaScript object is used to store key-value pairs?,Array,Object,Map,Set,
351,Which principle of OOP refers to wrapping data and methods together?,Abstraction,Polymorphism,Encapsulation,Inheritance,
352,Which OOP principle allows one class to derive properties from another?,Abstraction,Polymorphism,Encapsulation,Inheritance,
353,Which OOP concept allows the same function name to have different implementations?,Inheritance,Polymorphism,Encapsulation,Overloading,
354,Which OOP concept hides internal implementation details from the user?,Abstraction,Encapsulation,Polymorphism,Inheritance,
355,Which keyword in C++ is used to define a class?,object,define,class,struct,
356,Which programming language was developed by Bjarne Stroustrup?,C,C++,Java,Python,
357,Which programming language was developed by James Gosling?,C,C++,Java,Python,
358,Which programming language was created by Guido van Rossum?,C,Java,Python,Ruby,
359,Who is the creator of the C programming language?,Dennis Ritchie,Bjarne Stroustrup,James Gosling,Ken Thompson,
360,"In OOP, a constructor is used to:",Destroy objects,Initialize objects,Overload operators,Hide data,
361,"In OOP, which function is automatically invoked when an object is destroyed?",Constructor,Destructor,Virtual function,Operator overload,
362,Which type of inheritance allows a class to inherit from multiple classes?,Single,Multiple,Multilevel,Hybrid,
363,Which type of memory is volatile?,ROM,RAM,Hard Disk,CD-ROM,
364,Which type of memory is non-volatile and permanent?,RAM,Cache,ROM,Registers,
365,Which OOP concept allows redefining a base class function in a derived class?,Overloading,Overriding,Encapsulation,Abstraction,
366,Which operator is used in C++ to allocate memory dynamically?,malloc,alloc,new,calloc,
367,Which operator is used in C++ to deallocate memory?,delete,free,dispose,remove,
368,Which language is known as the 'mother of all programming languages'?,C,C++,Java,Python,
369,Which of the following is not an OOP principle?,Inheritance,Encapsulation,Polymorphism,Compilation,
370,Which programming paradigm does C primarily follow?,Object-Oriented,Procedural,Functional,Declarative,
371,Which programming paradigm does Python support?,Object-Oriented,Procedural,Functional,All of the above,
372,Which C++ keyword is used to define inheritance?,inherits,extends,base,public/private/protected,
373,Which OOP concept allows the same operator to perform different tasks?,Polymorphism,Encapsulation,Abstraction,Inheritance,
374,Which of the following is the fastest memory?,Cache,RAM,ROM,Hard Disk,
375,Which type of software is the Operating System?,Application Software,System Software,Utility Software,Firmware,
376,Which company developed the Java programming language?,Microsoft,Sun Microsystems,Google,IBM,
377,Which keyword in Java is used to create a subclass?,extends,inherits,super,class,
378,Which keyword in Java is used to prevent method overriding?,static,final,const,sealed,
379,Which OOP concept is implemented through interfaces in Java?,Polymorphism,Abstraction,Encapsulation,Inheritance,
380,Which of the following is NOT a programming language?,C++,Java,Python,Oracle,
381,Which type of inheritance creates a hierarchy where one class is derived from another?,Multiple,Single,Hybrid,Multilevel,
382,Which of the following is an example of secondary storage?,RAM,ROM,Hard Disk,Cache,
383,Which company developed the C# programming language?,Microsoft,Sun Microsystems,Apple,IBM,
384,Which OOP concept is also known as 'is-a' relationship?,Encapsulation,Polymorphism,Inheritance,Composition,
385,Which OOP concept is also known as 'has-a' relationship?,Encapsulation,Polymorphism,Inheritance,Composition,
386,Which programming language is mainly used for Artificial Intelligence?,Python,C,COBOL,Assembly,
387,Which language is primarily used for Android app development?,Swift,Kotlin,C++,PHP,
388,Which of the following is a compiled language?,Python,JavaScript,C,PHP,
389,Which of the following is an interpreted language?,C,C++,JavaScript,Assembly,
390,Which type of error occurs during program execution?,Syntax Error,Runtime Error,Logical Error,Compilation Error,
391,Which type of error occurs due to incorrect program logic?,Syntax Error,Runtime Error,Logical Error,Compilation Error,
392,Which of the following is an example of a high-level programming language?,Assembly,C,Machine Code,Binary,
393,Which type of memory directly interacts with the CPU?,Hard Disk,ROM,Cache,CD-ROM,
394,Which of the following is an example of an input device?,Printer,Monitor,Keyboard,Speaker,
395,Which of the following is an example of an output device?,Mouse,Scanner,Monitor,Keyboard,
396,Which programming language is primarily used for iOS app development?,Swift,Java,Kotlin,Objective-C,
397,Which company developed the Swift programming language?,Apple,Google,Microsoft,Oracle,
398,Which of the following is an open-source relational database?,Oracle,MySQL,SQL Server,MongoDB,
399,Which of the following is a NoSQL database?,MySQL,PostgreSQL,MongoDB,Oracle,
400,Which programming language is widely used for web development?,JavaScript,C,COBOL,Assembly,
401,What does IP stand for in computer networks?,Internet Protocol,Internal Process,Information Path,Integrated Program,
402,Which protocol is used to transfer web pages?,HTTP,FTP,SMTP,SNMP,
403,Which device is used to connect multiple networks together?,Switch,Router,Hub,Repeater,
404,Which of the following is not a network topology?,Star,Bus,Ring,Array,
405,Which layer of the OSI model is responsible for end-to-end communication?,Network Layer,Transport Layer,Session Layer,Data Link Layer,
406,Which layer of the OSI model ensures data is presented in a readable format?,Application Layer,Presentation Layer,Session Layer,Transport Layer,
407,Which protocol is used to send emails?,SMTP,POP3,IMAP,HTTP,
408,Which protocol is used to retrieve emails?,SMTP,POP3,SNMP,FTP,
409,Which protocol is secure for web browsing?,HTTP,HTTPS,FTP,Telnet,
410,Which device operates at the Data Link layer of OSI model?,Router,Switch,Hub,Repeater,
411,Which device operates at the Physical layer of OSI model?,Hub,Router,Switch,Bridge,
412,Which of the following uses port number 21?,HTTP,FTP,SMTP,DNS,
413,Which of the following uses port number 53?,DNS,HTTP,SMTP,FTP,
414,Which of the following is an example of a Class C IP address?,192.168.1.1,10.0.0.1,172.16.0.1,224.0.0.1,
415,Which protocol is used for file transfer?,HTTP,FTP,SMTP,DNS,
416,What does SQL stand for?,Structured Query Language,System Query Language,Sequential Query Language,Standard Query Language,
417,Which of the following is a DDL command?,SELECT,INSERT,CREATE,UPDATE,
418,Which of the following is a DML command?,CREATE,ALTER,INSERT,DROP,
419,Which SQL clause is used to filter records?,WHERE,GROUP BY,ORDER BY,HAVING,
420,Which SQL clause is used to sort records?,SORT BY,ORDER BY,GROUP BY,RANK BY,
421,Which SQL command is used to remove a table?,DELETE,DROP,REMOVE,TRUNCATE,
422,Which SQL command removes all rows but keeps the structure of the table?,DROP,DELETE,TRUNCATE,REMOVE,
423,Which key uniquely identifies a record in a table?,Primary Key,Foreign Key,Unique Key,Super Key,
424,Which key establishes a relationship between two tables?,Primary Key,Foreign Key,Candidate Key,Composite Key,
425,Which SQL function is used to count records?,SUM(),COUNT(),TOTAL(),NUMBER(),
426,Which SQL keyword is used to remove duplicate values?,UNIQUE,DISTINCT,REMOVE,FILTER,
427,Which SQL clause is used to group records?,GROUP BY,ORDER BY,WHERE,HAVING,
428,Which SQL clause is used to filter groups?,WHERE,GROUP BY,HAVING,ORDER BY,
429,Which of the following is a NoSQL database?,MySQL,PostgreSQL,MongoDB,Oracle,
430,Which of the following is a relational database?,MySQL,MongoDB,Cassandra,Redis,
431,Which normal form eliminates repeating groups?,1NF,2NF,3NF,BCNF,
432,Which normal form eliminates partial dependency?,1NF,2NF,3NF,BCNF,
433,Which normal form eliminates transitive dependency?,1NF,2NF,3NF,BCNF,
434,Which SQL command is used to update records?,ALTER,UPDATE,MODIFY,CHANGE,
435,Which SQL command is used to insert new records?,INSERT,ADD,APPEND,CREATE,
436,Which of the following is a property of a transaction?,ACID,BASE,CRUD,SOAP,
437,"In ACID properties, 'A' stands for?",Atomicity,Accuracy,Aggregation,Access,
438,"In ACID properties, 'C' stands for?",Concurrency,Consistency,Control,Centralization,
439,"In ACID properties, 'I' stands for?",Integrity,Isolation,Indexing,Iteration,
440,"In ACID properties, 'D' stands for?",Dependency,Durability,Distribution,Deduplication,
441,Which SQL command is used to modify a table structure?,MODIFY,ALTER,UPDATE,CHANGE,
442,Which of the following is not a SQL aggregate function?,AVG(),SUM(),MAX(),SELECT(),
443,Which SQL keyword is used to combine records from two or more tables?,COMBINE,JOIN,MERGE,LINK,
444,Which type of JOIN returns all records when there is a match in either table?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,
445,Which type of JOIN returns only the matching rows from both tables?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,
446,Which type of JOIN returns all records from the left table and matching records from the right table?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,
447,Which type of JOIN returns all records from the right table and matching records from the left table?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,
448,Which SQL constraint ensures that a column cannot have NULL values?,UNIQUE,NOT NULL,PRIMARY KEY,CHECK,
449,Which SQL constraint ensures all values in a column are unique?,PRIMARY KEY,UNIQUE,CHECK,DEFAULT,
450,Which SQL constraint provides a default value for a column?,NOT NULL,DEFAULT,CHECK,PRIMARY KEY,
451,Which of the following is the core of an operating system?,Shell,Kernel,Command Interpreter,Application Program,
452,Which scheduling algorithm is also called 'time-sharing' scheduling?,First Come First Serve,Round Robin,Shortest Job First,Priority Scheduling,
453,Which of the following is not a type of operating system?,Batch,Multiprogramming,Time-sharing,Compiler,
454,What is thrashing in operating systems?,When too many processes are waiting,When the CPU is idle,When paging activity is too high,When a process is terminated,
455,Which of the following is used to avoid deadlock?,Mutual Exclusion,Circular Wait,Banker’s Algorithm,Starvation,
456,What is the maximum number of processes that can be in 'Ready' state?,1,Unlimited,Depends on CPU,Depends on RAM,
457,Which of the following is not a type of system call?,Process Control,File Manipulation,Device Management,Algorithm Execution,
458,Which scheduling algorithm may cause starvation?,First Come First Serve,Shortest Job Next,Round Robin,All of the above,
459,Which memory is non-volatile?,RAM,Cache,ROM,Registers,
460,What is a critical section in OS?,A part of the program where deadlock occurs,A part of code where shared resources are accessed,A memory segment for paging,A CPU register,
461,Which operating system is open source?,Windows,Linux,macOS,MS-DOS,
462,Which of the following is the process of loading operating system into memory?,Booting,Swapping,Scheduling,Paging,
463,What is context switching?,Changing CPU speed,Storing and restoring state of processes,Switching between RAM and ROM,Allocating memory,
464,What is the main objective of software engineering?,To develop low-quality software,To develop software faster,"To develop reliable, maintainable software",To avoid using programming,
465,Which software development model is also known as the 'linear sequential model'?,Spiral Model,V-Model,Agile Model,Waterfall Model,
466,Which of the following is an Agile methodology?,Scrum,RAD,Spiral,Prototype,
467,Which of the following is not a software development lifecycle (SDLC) phase?,Requirement Analysis,Design,Coding,Marketing,
468,Which model is best suited for projects with high risk?,Waterfall,Spiral,V-Model,Agile,
469,"In software engineering, SRS stands for:",System Requirement Specification,Software Requirement Specification,System Resource System,Software Resource Specification,
470,Which testing is performed without executing the code?,Black Box Testing,White Box Testing,Static Testing,Dynamic Testing,
471,Which diagram in UML shows object interactions over time?,Class Diagram,Sequence Diagram,Use Case Diagram,Activity Diagram,
472,Which metric measures the complexity of software?,Cyclomatic Complexity,Code Length,Execution Time,Memory Usage,
473,Which of the following is NOT a type of software testing?,Unit Testing,Integration Testing,System Testing,Construction Testing,
474,Which model combines iterative and waterfall approaches?,Agile,V-Model,Spiral,Prototype,
475,Which is a non-functional requirement?,Performance,Login,File Upload,Search Functionality,
476,Which of the following is not an Agile principle?,Customer collaboration,Responding to change,Comprehensive documentation,Working software,
477,Which process model is most suitable for small projects?,Waterfall,Spiral,Agile,V-Model,
478,Which testing ensures that changes in code do not affect existing functionality?,Regression Testing,Unit Testing,Integration Testing,Smoke Testing,
479,Which of the following is not a CASE tool?,Code Generator,Debugger,Compiler,Spiral Model,
480,"In software engineering, what does 'black box' testing mean?",Testing internal code structure,Testing without knowing internal details,Testing hardware only,Testing memory usage,
481,Which is a risk management technique in software engineering?,Prototyping,Mitigation,Cyclomatic Complexity,Static Analysis,
482,Which model allows overlapping phases?,Waterfall,Iterative,V-Model,RAD,
483,What is the main purpose of version control systems?,To manage hardware,To track changes in code,To improve performance,To debug programs,
484,Which type of maintenance modifies the software to keep it usable over time?,Corrective,Adaptive,Perfective,Preventive,
485,Which of the following is not a software process model?,RAD,Waterfall,Spiral,Semaphore,
486,"In software engineering, verification means:",Building the system right,Building the right system,Both A and B,None,
487,"In software engineering, validation means:",Building the system right,Building the right system,Both A and B,None,
488,Which of the following is an example of functional testing?,Performance Testing,Load Testing,Usability Testing,Login Verification,
489,Which document describes the architecture of a system?,SRS,Design Document,Test Plan,User Manual,
490,Which one is NOT a software engineering layer?,Process,Methods,Tools,Compiler,
491,Which of these is not an operating system?,Unix,Windows,Oracle,Linux,
492,"In paging, the address generated by the CPU is called?",Virtual Address,Physical Address,Logical Address,None,
493,Which type of scheduler selects processes from ready queue?,Long-term,Medium-term,Short-term,None,
494,Which OS scheduling algorithm gives the best average waiting time?,FCFS,SJF,Round Robin,Priority,
495,Which testing technique checks the program flow?,Black Box Testing,White Box Testing,Acceptance Testing,Regression Testing,
496,Which is not a role in Scrum?,Product Owner,Scrum Master,Developer,Tester,
497,Which of the following is an example of non-volatile storage?,RAM,Cache,ROM,Registers,
498,What is the main function of an operating system?,Resource Management,Debugging,Programming,Compilation,
499,Which is not a software quality attribute?,Usability,Reliability,Maintainability,Profitability,
500,Which of the following is an example of system software?,Word Processor,Spreadsheet,Operating System,Presentation Tool,
501,Choose the correct spelling:,Recieve,Receive,Recive,Receeve,
502,Find the synonym of 'Rapid':,Slow,Quick,Lazy,Weak,
503,Find the antonym of 'Generous':,Kind,Selfish,Polite,Rich,
504,Fill in the blank: He is good ___ mathematics.,in,at,on,with,
505,Choose the correct sentence:,She don’t like mangoes.,She doesn’t likes mangoes.,She doesn’t like mangoes.,She don’t likes mangoes.,
506,Find the synonym of 'Vacant':,Empty,Full,Busy,Crowded,
507,Find the antonym of 'Ancient':,Old,Past,Modern,Historic,
508,Fill in the blank: The train has arrived ___ time.,in,on,at,for,
509,Choose the correct spelling:,Occurence,Ocurrence,Occurrence,Ocurrense,
510,Find the synonym of 'Brief':,Short,Long,Wide,Vague,
511,Find the antonym of 'Optimistic':,Hopeful,Cheerful,Pessimistic,Joyful,
512,Fill in the blank: He is married ___ a doctor.,with,to,by,for,
513,Choose the correct sentence:,They goes to school daily.,They go to school daily.,They going to school daily.,They gone to school daily.,
514,Find the synonym of 'Assist':,Help,Block,Refuse,Delay,
515,Find the antonym of 'Transparent':,Clear,Opaque,Bright,Thin,
516,Fill in the blank: She is interested ___ music.,in,on,with,for,
517,Choose the correct spelling:,Definately,Definitely,Definatly,Definetely,
518,Find the synonym of 'Expand':,Reduce,Contract,Enlarge,Shrink,
519,Find the antonym of 'Victory':,Defeat,Win,Success,Glory,
520,Fill in the blank: The book is placed ___ the table.,at,on,in,with,
521,Choose the correct spelling:,Accomodate,Acommodate,Accommodate,Acommadate,
522,Find the synonym of 'Begin':,Start,End,Finish,Close,
523,Find the antonym of 'Permanent':,Eternal,Temporary,Fixed,Stable,
524,Fill in the blank: He congratulated me ___ my success.,in,for,on,with,
525,Choose the correct sentence:,She go to the market yesterday.,She goes to the market yesterday.,She went to the market yesterday.,She going to the market yesterday.,
526,Find the synonym of 'Danger':,Risk,Safety,Comfort,Assurance,
527,Find the antonym of 'Strong':,Powerful,Weak,Solid,Mighty,
528,Fill in the blank: He is junior ___ me.,than,to,from,with,
529,Choose the correct spelling:,Maintanance,Maintenance,Maintnance,Maintanence,
530,Find the synonym of 'Famous':,Unknown,Popular,Strange,Ordinary,
531,Find the antonym of 'Polite':,Rude,Kind,Gentle,Respectful,
532,Fill in the blank: The cat is hiding ___ the bed.,in,under,at,on,
533,Choose the correct sentence:,He don’t work here.,He doesn’t works here.,He doesn’t work here.,He not works here.,
534,Find the synonym of 'Huge':,Small,Tiny,Massive,Little,
535,Find the antonym of 'Happy':,Joyful,Sad,Cheerful,Excited,
536,Fill in the blank: The teacher is angry ___ the students.,on,with,to,at,
537,Choose the correct spelling:,Febuary,Februery,February,Februarry,
538,Find the synonym of 'End':,Start,Finish,Begin,Open,
539,Find the antonym of 'Honest':,Truthful,Faithful,Dishonest,Sincere,
540,Fill in the blank: He is keen ___ learning new things.,in,on,at,for,
541,Choose the correct sentence:,The sun rise in the east.,The sun rises in the east.,The sun rised in the east.,The sun rising in the east.,
542,Find the synonym of 'Bright':,Dark,Shiny,Dim,Dull,
543,Find the antonym of 'Light':,Bright,Dark,Shiny,Thin,
544,Fill in the blank: She is famous ___ her singing.,at,for,on,with,
545,Choose the correct spelling:,Tommorow,Tomorrow,Tomorow,Tommorrow,
546,Find the synonym of 'Job':,Task,Play,Leisure,Hobby,
547,Find the antonym of 'Victory':,Defeat,Win,Success,Triumph,
548,Fill in the blank: He divided the cake ___ four parts.,to,in,into,for,
549,Choose the correct sentence:,He has went to Delhi.,He have gone to Delhi.,He has gone to Delhi.,He gone to Delhi.,
550,Find the synonym of 'Silent':,Noisy,Quiet,Loud,Talkative,
551,Find the antonym of 'Hot':,Warm,Cool,Cold,Chilly,
552,Fill in the blank: She is fond ___ chocolates.,with,to,of,for,
553,Choose the correct spelling:,Enviroment,Envirnment,Environment,Enviroement,
554,Find the synonym of 'Angry':,Calm,Furious,Happy,Quiet,
555,Find the antonym of 'Cheap':,Expensive,Low,Small,Poor,
556,Fill in the blank: The teacher is absent ___ the class today.,of,from,at,with,
557,Choose the correct sentence:,He do his homework regularly.,He does his homework regularly.,He did his homework regularly.,He done his homework regularly.,
558,Find the synonym of 'Cold':,Chilly,Hot,Warm,Burning,
559,Find the antonym of 'Success':,Win,Failure,Profit,Victory,
560,Fill in the blank: I am good ___ solving puzzles.,with,on,at,in,
561,Choose the correct spelling:,Goverment,Governmant,Government,Governemnt,
562,Find the synonym of 'Small':,Tiny,Large,Huge,Massive,
563,Find the antonym of 'Fast':,Quick,Rapid,Slow,Swift,
564,Fill in the blank: He is capable ___ doing the work.,of,in,with,to,
565,Choose the correct sentence:,They was late for school.,They is late for school.,They were late for school.,They being late for school.,
566,Find the synonym of 'Quick':,Slow,Rapid,Weak,Lazy,
567,Find the antonym of 'Beautiful':,Ugly,Pretty,Charming,Lovely,
568,Fill in the blank: The book consists ___ five chapters.,of,in,on,with,
569,Choose the correct spelling:,Knowlege,Knowledge,Knowlidge,Knolege,
570,Find the synonym of 'Big':,Large,Tiny,Small,Minute,
571,Choose the correct spelling:,Accomodate,Acommodate,Accommodate,Acomodete,
572,Find the synonym of 'Eager':,Unwilling,Keen,Lazy,Reluctant,
573,Find the antonym of 'Rigid':,Flexible,Stiff,Strict,Hard,
574,Fill in the blank: He was absent ___ the meeting.,at,on,from,in,
575,Choose the correct sentence:,I has a new phone.,I have a new phone.,I haves a new phone.,I having a new phone.,
576,Find the synonym of 'Huge':,Tiny,Massive,Narrow,Weak,
577,Find the antonym of 'Polite':,Respectful,Rude,Gentle,Kind,
578,Fill in the blank: They congratulated him ___ his success.,at,on,for,with,
579,Choose the correct spelling:,Mischievious,Mischievous,Mischivous,Mischiveous,
580,Find the synonym of 'Calm':,Peaceful,Angry,Wild,Stormy,
581,Find the antonym of 'Permanent':,Temporary,Fixed,Stable,Steady,
582,Fill in the blank: He was accused ___ theft.,for,of,with,on,
583,Choose the correct sentence:,The cat drink milk.,The cat drinks milk.,The cat drinking milk.,The cat dranking milk.,
584,Find the synonym of 'Purchase':,Buy,Sell,Borrow,Steal,
585,Find the antonym of 'Bright':,Shiny,Clear,Dark,Glittering,
586,Fill in the blank: The boy is afraid ___ dogs.,on,of,with,for,
587,Choose the correct spelling:,Tommorrow,Tomorrow,Tomorow,Tomorro,
588,Find the synonym of 'Brave':,Coward,Fearless,Weak,Lazy,
589,Find the antonym of 'Friend':,Ally,Enemy,Partner,Supporter,
590,Fill in the blank: She is famous ___ her singing.,on,by,for,to,
591,Choose the correct sentence:,He have finished his work.,He has finished his work.,He haves finished his work.,He having finished his work.,
592,Find the synonym of 'Quiet':,Noisy,Silent,Loud,Strong,
593,Find the antonym of 'Victory':,Triumph,Defeat,Success,Win,
594,Fill in the blank: He is senior ___ me.,from,to,than,with,
595,Choose the correct spelling:,Enviroment,Environment,Environmment,Enviornment,
596,Find the synonym of 'Happy':,Sad,Joyful,Angry,Tired,
597,Find the antonym of 'Begin':,Start,Commence,Finish,Open,
598,Fill in the blank: The book belongs ___ him.,to,on,with,for,
599,Choose the correct sentence:,The boys plays cricket.,The boys play cricket.,The boys played cricketing.,The boys playing cricket.,
600,Find the synonym of 'Intelligent':,Smart,Dull,Foolish,Lazy,
601,Find the antonym of 'Strong':,Powerful,Weak,Firm,Tough,
602,Fill in the blank: The teacher is angry ___ the students.,for,with,on,by,
603,Choose the correct spelling:,Febuary,February,Febraury,Februery,
604,Find the synonym of 'Safe':,Secure,Dangerous,Risky,Harmful,
605,Find the antonym of 'Increase':,Raise,Grow,Reduce,Expand,
606,Fill in the blank: He is busy ___ his homework.,on,with,at,by,
607,Choose the correct sentence:,She have two brothers.,She has two brothers.,She having two brothers.,She haves two brothers.,
608,Find the synonym of 'End':,Finish,Start,Open,Begin,
609,Find the antonym of 'Love':,Care,Affection,Hate,Like,
610,Fill in the blank: The sun rises ___ the east.,at,in,on,to,
611,Choose the correct spelling:,Goverment,Government,Governmment,Goverenment,
612,Find the synonym of 'Job':,Work,Play,Rest,Sleep,
613,Find the antonym of 'Success':,Failure,Win,Glory,Victory,
614,Fill in the blank: She is looking ___ her keys.,for,on,to,by,
615,Choose the correct sentence:,We was late.,We were late.,We are late yesterday.,We been late.,
616,Find the synonym of 'Angry':,Furious,Happy,Calm,Joyful,
617,Find the antonym of 'Light':,Bright,Heavy,Shiny,Clear,
618,Fill in the blank: He is proud ___ his son.,of,on,for,by,
619,Choose the correct spelling:,Wensday,Wednesday,Wednesdy,Wedensday,
620,Find the synonym of 'Cold':,Chilly,Hot,Warm,Humid,
621,"If ALL = 38 and BAT = 43, then CAT = ?",44,46,48,50,
622,"Find the odd one out: Apple, Mango, Carrot, Banana.",Apple,Mango,Carrot,Banana,
623,"If A = 1, B = 2, ..., Z = 26, then value of DOG = ?",26,27,32,34,
624,"Complete the series: 2, 4, 8, 16, ?",18,24,32,20,
625,"Pointing to a man, Ravi said, 'He is the son of my grandfather’s only son.' Who is the man to Ravi?",Brother,Cousin,Uncle,Father,
626,"Which number does not belong in the series: 3, 6, 12, 24, 50, 96?",12,24,50,96,
627,"If 5 cats can kill 5 rats in 5 minutes, how many cats are required to kill 100 rats in 100 minutes?",5,10,20,25,
628,Rearrange the letters 'EOPPHS' to form a meaningful word:,Shope,Sheep,Shoppe,Shop,
629,"Find the odd one out: Square, Circle, Triangle, Cube.",Square,Circle,Triangle,Cube,
630,"Which comes next in the series: 1, 4, 9, 16, 25, ?",30,35,36,40,
631,"If 'CAT' is coded as 'DBU', then 'DOG' is coded as?",DPH,EPH,EPI,FQH,
632,"Find the missing number: 3, 9, 27, ?, 243.",54,72,81,90,
633,A man is facing north. He turns 90° clockwise and then 180°. Which direction is he facing now?,East,South,West,North,
